Wall time,Step,Value
1501423945.778368,4,1.6857367753982544
1501423946.127214,7,1.6036803722381592
1501423947.307281,16,1.2526659965515137
1501423947.840565,20,1.1876590251922607
1501423948.229492,23,1.1051775217056274
1501423948.887819,28,1.1309514045715332
1501423950.214212,37,0.9692099690437317
1501423950.865924,41,0.9460670948028564
1501423953.14065,55,0.8641726970672607
1501423953.292125,56,0.8256353735923767
1501423953.555308,58,0.8087007403373718
1501423955.119502,69,0.7747434377670288
1501423956.639167,80,0.7350299954414368
1501423956.787354,81,0.6658270955085754
1501423956.9047,82,0.6875357031822205
1501423957.456925,86,0.7154741287231445
1501423957.944893,89,0.6791961193084717
1501423958.108913,90,0.6683465242385864
1501423961.318929,103,0.6694608330726624
1501423961.46018,104,0.660465657711029
1501423961.599485,105,0.6413984298706055
1501423964.152167,124,0.5470113158226013
1501423964.550742,127,0.5904014110565186
1501423964.951128,130,0.6210914850234985
1501423965.085217,131,0.6435879468917847
1501423966.389618,140,0.5345426201820374
1501423970.432117,168,0.5151183605194092
1501423970.97276,172,0.5152080059051514
1501423971.109362,173,0.5151743292808533
1501423972.564468,182,0.5080801248550415
1501423972.746008,183,0.49132415652275085
1501423973.143419,186,0.47698214650154114
1501423973.83665,191,0.5049494504928589
1501423974.005934,192,0.440175324678421
1501423974.937464,198,0.4935300350189209
1501423978.12987,212,0.4521932899951935
1501423978.652447,216,0.4553367793560028
1501423978.795836,217,0.4933662414550781
1501423979.201006,220,0.4232274889945984
1501423979.33807,221,0.4902481436729431
1501423980.002153,226,0.4881037771701813
1501423980.81684,232,0.4642343521118164
1501423980.950891,233,0.4033440053462982
1501423981.088358,234,0.45659786462783813
1501423981.809141,239,0.41817706823349
1501423982.241999,242,0.45991775393486023
1501423982.508346,244,0.41043829917907715
1501423984.905004,261,0.41623246669769287
1501423986.516162,272,0.429737389087677
1501423987.190942,277,0.4358375072479248
1501423988.827983,289,0.3906954526901245
1501423989.484348,294,0.3656372129917145
1501423989.807732,296,0.41801440715789795
1501423989.95896,297,0.39009857177734375
1501423990.257474,299,0.35672929883003235
1501423992.597503,308,0.35094815492630005
1501423992.920928,310,0.38046717643737793
1501423994.908992,324,0.3428911864757538
1501423995.295037,327,0.3960385322570801
1501423995.681149,330,0.3427336812019348
1501423995.843151,331,0.36773502826690674
1501423996.524792,336,0.3498690724372864
1501423996.665455,337,0.3758178949356079
1501423997.241637,341,0.3855755925178528
1501423997.507185,343,0.37402403354644775
1501423997.650147,344,0.37021517753601074
1501423998.986807,353,0.382244348526001
1501423999.441207,356,0.3692927360534668
1501424000.285954,362,0.3624127507209778
1501424000.435325,363,0.3586365580558777
1501424000.588484,364,0.36023178696632385
1501424000.742791,365,0.3784325420856476
1501424001.033452,367,0.31016117334365845
1501424001.601019,371,0.32223618030548096
1501424002.327178,375,0.34173810482025146
1501424002.461987,376,0.2973174750804901
1501424002.868794,379,0.3004418611526489
1501424003.002756,380,0.3034343123435974
1501424003.131658,381,0.29490959644317627
1501424004.737929,393,0.3561058044433594
1501424005.24946,397,0.34419625997543335
1501424005.403756,398,0.2979332208633423
1501424007.467395,404,0.3259134590625763
1501424007.758773,406,0.3578369617462158
1501424009.780751,420,0.29896706342697144
1501424010.535234,426,0.34990954399108887
1501424010.935477,429,0.34627363085746765
1501424011.461534,433,0.32349759340286255
1501424012.125615,438,0.2955882251262665
1501424012.264835,439,0.3176549971103668
1501424012.518829,441,0.31669577956199646
1501424013.767774,450,0.2863922715187073
1501424018.607276,483,0.2953592538833618
1501424019.267571,488,0.3318498730659485
1501424021.800945,500,0.3000023663043976
1501424022.851384,506,0.25678062438964844
1501424022.996905,507,0.32902246713638306
1501424023.149937,508,0.28873494267463684
1501424023.641693,511,0.3099493384361267
1501424024.551472,517,0.26793938875198364
1501424024.700822,518,0.2645927369594574
1501424025.73704,525,0.28180208802223206
1501424026.405476,530,0.2616990804672241
1501424026.79352,533,0.296284556388855
1501424028.233976,544,0.29715555906295776
1501424028.373257,545,0.26082825660705566
1501424028.503829,546,0.3042406439781189
1501424028.638669,547,0.2900083661079407
1501424029.943531,557,0.2731335759162903
1501424030.99208,565,0.34871530532836914
1501424031.260995,567,0.294282466173172
1501424031.668125,570,0.2927194833755493
1501424031.800665,571,0.26730433106422424
1501424032.278796,574,0.27571964263916016
1501424033.061622,580,0.279631108045578
1501424033.348003,582,0.2427460253238678
1501424033.888149,586,0.2913796305656433
1501424035.222045,596,0.25374269485473633
1501424035.630442,599,0.2533722519874573
1501424036.616544,600,0.26997631788253784
1501424037.298649,604,0.2501589059829712
1501424037.701941,607,0.2731850743293762
1501424039.544927,621,0.20366773009300232
1501424040.788513,630,0.2919802665710449
1501424041.617188,636,0.24851250648498535
1501424042.418188,642,0.2799392640590668
1501424042.700797,644,0.28004252910614014
1501424043.543732,650,0.26853442192077637
1501424043.831424,652,0.3059174418449402
1501424043.968411,653,0.3191778063774109
1501424044.405711,656,0.21717020869255066
1501424044.542403,657,0.28834521770477295
1501424044.84057,659,0.2765151560306549
1501424045.134371,661,0.2477123886346817
1501424045.411722,663,0.2645651400089264
1501424045.568026,664,0.26467663049697876
1501424046.811057,672,0.26524800062179565
1501424047.248262,675,0.2394072413444519
1501424048.266286,682,0.2477208971977234
1501424048.562431,684,0.24375617504119873
1501424049.313794,689,0.2525698244571686
1501424049.876043,693,0.24038438498973846
1501424050.808295,700,0.28218457102775574
1501424052.668284,706,0.2614971101284027
1501424054.476064,719,0.24087399244308472
1501424056.479439,734,0.2387889325618744
1501424056.944843,737,0.24393771588802338
1501424057.959021,743,0.21486139297485352
1501424058.400876,746,0.24977339804172516
1501424058.637591,748,0.2624664604663849
1501424058.882574,750,0.23084720969200134
1501424059.116376,752,0.23438715934753418
1501424059.3926,754,0.216612309217453
1501424060.18139,759,0.239018052816391
1501424060.313421,760,0.28066718578338623
1501424060.940186,764,0.23043565452098846
1501424061.624721,769,0.24280500411987305
1501424063.68929,781,0.22984880208969116
1501424063.851811,782,0.2347109019756317
1501424064.400416,785,0.2644040584564209
1501424065.151633,790,0.22232331335544586
1501424065.305071,791,0.208756685256958
1501424067.412277,800,0.23076051473617554
1501424068.263722,805,0.28882884979248047
1501424068.391485,806,0.2601487636566162
1501424068.908375,810,0.24362370371818542
1501424069.175234,812,0.26244860887527466
1501424069.873832,817,0.2425563633441925
1501424070.018419,818,0.22247084975242615
1501424070.169568,819,0.21605104207992554
1501424070.606205,822,0.23456346988677979
1501424072.107932,832,0.2130553424358368
1501424073.320516,840,0.27470332384109497
1501424073.470998,841,0.22634539008140564
1501424074.155225,846,0.2423720359802246
1501424074.830152,851,0.23542025685310364
1501424075.646473,857,0.22851282358169556
1501424075.796358,858,0.25800755620002747
1501424076.329637,862,0.23341816663742065
1501424077.011966,867,0.19105380773544312
1501424078.024676,874,0.2229052037000656
1501424078.173285,875,0.2344006896018982
1501424078.466185,877,0.19839313626289368
1501424078.756206,879,0.20743674039840698
1501424080.6692,892,0.1680717170238495
1501424080.820184,893,0.25012844800949097
1501424081.114404,895,0.2080959677696228
1501424083.328253,903,0.2470993548631668
1501424085.622739,920,0.23521825671195984
1501424085.753327,921,0.1828654557466507
1501424086.140979,924,0.20652475953102112
1501424086.410074,926,0.22231245040893555
1501424086.938872,930,0.21883624792099
1501424087.194617,932,0.22123929858207703
1501424089.842856,952,0.24670644104480743
1501424091.386478,964,0.1911395639181137
1501424091.761013,967,0.2106056958436966
1501424092.529945,972,0.2535002529621124
1501424093.753147,981,0.2131575644016266
1501424094.299618,985,0.2076399326324463
1501424095.600378,994,0.21008554100990295
1501424095.868115,996,0.1712612509727478
1501424096.144041,998,0.20088829100131989
1501424097.268498,1000,0.20555302500724792
1501424099.351079,1014,0.2156904637813568
1501424100.308013,1021,0.18773266673088074
1501424100.450031,1022,0.22724607586860657
1501424100.99533,1026,0.20511794090270996
1501424101.479833,1030,0.2297014445066452
1501424101.730272,1032,0.21070174872875214
1501424102.143882,1035,0.21891234815120697
1501424103.203212,1042,0.18502363562583923
1501424103.358245,1043,0.1676032394170761
1501424103.501396,1044,0.18856121599674225
1501424103.65366,1045,0.20428968966007233
1501424103.953644,1047,0.19844384491443634
1501424104.709457,1052,0.1770026981830597
1501424104.863381,1053,0.1968284547328949
1501424105.009458,1054,0.2142994999885559
1501424105.865699,1060,0.19568711519241333
1501424106.380645,1064,0.197052001953125
1501424107.746532,1074,0.19711598753929138
1501424108.019886,1076,0.18207430839538574
1501424108.15723,1077,0.19682836532592773
1501424108.42425,1079,0.19672617316246033
1501424115.207754,1119,0.17442506551742554
1501424115.474629,1121,0.20580604672431946
1501424117.234682,1134,0.19757147133350372
1501424117.912655,1139,0.20601168274879456
1501424118.039292,1140,0.21563538908958435
1501424118.302319,1142,0.19295285642147064
1501424118.429323,1143,0.20655065774917603
1501424118.556072,1144,0.2060895562171936
1501424119.085353,1148,0.20379813015460968
1501424119.610893,1152,0.17357006669044495
1501424120.166332,1156,0.16553765535354614
1501424120.298198,1157,0.16572198271751404
1501424121.130819,1163,0.1977272480726242
1501424122.470908,1172,0.20171776413917542
1501424123.865298,1182,0.1733497679233551
1501424124.651871,1188,0.17157480120658875
1501424124.77809,1189,0.15253065526485443
1501424126.037728,1198,0.16730210185050964
1501424127.779515,1202,0.20699843764305115
1501424128.660392,1208,0.17828144133090973
1501424129.393018,1213,0.17626945674419403
1501424130.280443,1220,0.1794460415840149
1501424131.099316,1226,0.15300634503364563
1501424131.361823,1228,0.16554304957389832
1501424131.633817,1230,0.1827118694782257
1501424132.130356,1234,0.20385858416557312
1501424132.388695,1236,0.2211470901966095
1501424132.51587,1237,0.2030833661556244
1501424133.040382,1241,0.18157488107681274
1501424133.172533,1242,0.2019048035144806
1501424133.447324,1244,0.1746687889099121
1501424133.596305,1245,0.18897978961467743
1501424134.045685,1248,0.19619837403297424
1501424134.193294,1249,0.16671240329742432
1501424134.782356,1253,0.17226514220237732
1501424135.217953,1256,0.18712633848190308
1501424135.674008,1259,0.1959894746541977
1501424136.298357,1263,0.16949696838855743
1501424136.74129,1266,0.19186511635780334
1501424136.902868,1267,0.14805957674980164
1501424137.907515,1274,0.1702158898115158
1501424139.865636,1289,0.17321324348449707
1501424140.507058,1294,0.15025612711906433
1501424140.775385,1296,0.16679583489894867
1501424141.318836,1300,0.16670793294906616
1501424142.256421,1300,0.17376096546649933
1501424142.883271,1303,0.19511236250400543
1501424144.130311,1311,0.16825029253959656
1501424144.435798,1313,0.21545997262001038
1501424144.58905,1314,0.15826565027236938
1501424145.038028,1317,0.1844780147075653
1501424145.18314,1318,0.16589340567588806
1501424145.774864,1322,0.17255407571792603
1501424146.582605,1328,0.17426460981369019
1501424146.841928,1330,0.18010516464710236
1501424148.040736,1339,0.1777157187461853
1501424151.256793,1362,0.17584598064422607
1501424154.964878,1388,0.1764407604932785
1501424156.289639,1398,0.1692603975534439
1501424156.427094,1399,0.14971673488616943
1501424156.555517,1400,0.19542039930820465
1501424157.827618,1402,0.1622290313243866
1501424158.111348,1404,0.19047728180885315
1501424158.511509,1407,0.19317762553691864
1501424158.646233,1408,0.14529956877231598
1501424158.912432,1410,0.15620456635951996
1501424161.316562,1428,0.1485629379749298
1501424161.452962,1429,0.17981427907943726
1501424161.720524,1431,0.17220687866210938
1501424163.417115,1443,0.17692488431930542
1501424163.974303,1447,0.17242828011512756
1501424164.688301,1452,0.19162322580814362
1501424165.135245,1455,0.11783507466316223
1501424166.400383,1463,0.16599588096141815
1501424166.571895,1464,0.14214470982551575
1501424166.730075,1465,0.16850754618644714
1501424167.712023,1471,0.16818079352378845
1501424168.295966,1475,0.14265508949756622
1501424168.603053,1477,0.1935558319091797
1501424170.774421,1492,0.11586473882198334
1501424171.3193,1496,0.15544813871383667
1501424173.00303,1501,0.15437516570091248
1501424173.428195,1504,0.15354099869728088
1501424174.501813,1512,0.19588997960090637
1501424174.756342,1514,0.15118709206581116
1501424174.895098,1515,0.1676381528377533
1501424175.027087,1516,0.1558123528957367
1501424176.222625,1525,0.16223710775375366
1501424176.48883,1527,0.17083996534347534
1501424176.619314,1528,0.1597711145877838
1501424176.746779,1529,0.16327838599681854
1501424177.266905,1533,0.15496206283569336
1501424177.935618,1538,0.12753772735595703
1501424178.881046,1545,0.16710665822029114
1501424180.718459,1559,0.16121356189250946
1501424180.982419,1561,0.14978110790252686
1501424181.102511,1562,0.1381533145904541
1501424181.933661,1568,0.1348528265953064
1501424182.287619,1570,0.151799738407135
1501424183.887801,1581,0.17995601892471313
1501424184.476496,1585,0.1437155306339264
1501424184.618285,1586,0.17010045051574707
1501424187.451628,1600,0.15436050295829773
1501424187.865737,1602,0.1676531881093979
1501424187.991294,1603,0.1895359456539154
1501424188.263241,1605,0.1717100441455841
1501424188.397138,1606,0.14144450426101685
1501424188.793423,1609,0.17369288206100464
1501424189.058217,1611,0.14035432040691376
1501424189.457296,1614,0.15679536759853363
1501424189.582662,1615,0.1564469039440155
1501424190.89412,1624,0.1592576503753662
1501424191.189459,1626,0.15697996318340302
1501424191.786078,1630,0.1577603816986084
1501424191.929879,1631,0.16254422068595886
1501424192.518156,1635,0.1628769040107727
1501424193.114466,1639,0.11855882406234741
1501424193.264019,1640,0.15864986181259155
1501424194.00876,1645,0.12877647578716278
1501424195.237373,1654,0.15039688348770142
1501424195.911495,1659,0.13809312880039215
1501424196.312915,1662,0.1444951295852661
1501424197.677573,1672,0.14805492758750916
1501424198.285062,1676,0.17479991912841797
1501424199.322566,1683,0.1491808444261551
1501424203.128288,1702,0.16482707858085632
1501424205.730127,1721,0.14217111468315125
1501424206.180029,1724,0.12656621634960175
1501424206.932051,1729,0.1297057569026947
1501424207.376641,1732,0.12812168896198273
1501424208.461194,1739,0.15738865733146667
1501424209.954614,1749,0.1430460512638092
1501424210.086884,1750,0.14353640377521515
1501424210.895318,1756,0.1465185582637787
1501424211.028878,1757,0.15347518026828766
1501424211.451506,1760,0.1545121669769287
1501424212.021906,1764,0.1497429609298706
1501424212.196997,1765,0.15420199930667877
1501424212.51506,1767,0.1569257378578186
1501424212.929492,1770,0.13509222865104675
1501424213.200601,1772,0.15259495377540588
1501424213.471693,1774,0.14656829833984375
1501424214.461642,1781,0.16691884398460388
1501424214.998291,1785,0.1154487207531929
1501424216.065871,1793,0.18386316299438477
1501424216.454509,1796,0.1343076229095459
1501424216.711803,1798,0.1358359456062317
1501424216.845522,1799,0.14403462409973145
1501424218.132504,1801,0.13794897496700287
1501424218.411749,1803,0.13460305333137512
1501424218.546731,1804,0.1565229445695877
1501424218.673332,1805,0.1617036908864975
1501424220.45458,1818,0.14739547669887543
1501424221.852022,1828,0.14061686396598816
1501424222.316352,1831,0.1622641235589981
1501424222.618671,1833,0.16806769371032715
1501424224.600837,1846,0.10961142182350159
1501424224.745193,1847,0.1692504584789276
1501424225.498124,1852,0.12468252331018448
1501424226.057797,1856,0.14617717266082764
1501424226.183668,1857,0.14562836289405823
1501424227.691569,1868,0.14477333426475525
1501424227.957189,1870,0.13350307941436768
1501424228.224942,1872,0.14598622918128967
1501424228.788544,1876,0.1450074464082718
1501424229.459625,1881,0.14088624715805054
1501424229.594662,1882,0.1335415095090866
1501424229.868012,1884,0.12173931300640106
1501424230.125542,1886,0.14137113094329834
1501424230.54919,1889,0.15436327457427979
1501424232.863376,1900,0.13935060799121857
1501424233.695551,1905,0.13611790537834167
1501424234.115617,1908,0.12656226754188538
1501424234.774682,1913,0.16558977961540222
1501424235.303609,1917,0.1464686542749405
1501424236.140582,1923,0.12102644145488739
1501424237.099383,1930,0.14141380786895752
1501424237.780998,1935,0.14100681245326996
1501424238.736945,1942,0.11510810256004333
1501424238.997217,1944,0.14182746410369873
1501424239.982484,1951,0.12209834158420563
1501424241.195408,1960,0.11885789036750793
1501424242.123587,1966,0.14602132141590118
1501424242.460487,1968,0.11519655585289001
1501424243.133688,1973,0.11626909673213959
1501424243.271109,1974,0.13512831926345825
1501424245.462091,1990,0.130558580160141
1501424246.271721,1996,0.13289016485214233
1501424248.384708,2004,0.11155383288860321
1501424250.487233,2019,0.1385352909564972
1501424250.632586,2020,0.12275266647338867
1501424251.870877,2028,0.1401011049747467
1501424252.174143,2030,0.15497954189777374
1501424252.599418,2033,0.1282811015844345
1501424252.750246,2034,0.12036462873220444
1501424253.063641,2036,0.1169780045747757
1501424253.844167,2041,0.11466310173273087
1501424255.726754,2055,0.1505803018808365
1501424256.148219,2058,0.15822765231132507
1501424256.548064,2061,0.13292251527309418
1501424257.093752,2065,0.13444118201732635
1501424257.630425,2069,0.11059598624706268
1501424258.065556,2072,0.13437283039093018
1501424258.351803,2074,0.14627763628959656
1501424259.846911,2084,0.1463623046875
1501424260.446646,2088,0.12074800580739975
1501424260.734677,2090,0.13487203419208527
1501424261.466319,2095,0.10451866686344147
1501424264.360541,2109,0.11435355246067047
1501424264.896876,2113,0.13793165981769562
1501424265.680843,2119,0.15002170205116272
1501424266.091541,2122,0.13227947056293488
1501424266.484517,2125,0.10732822120189667
1501424266.858162,2128,0.1004791185259819
