Wall time,Step,Value
1501279657.754358,0,0.21996508538722992
1501279674.486089,100,0.8431994915008545
1501279691.024434,200,0.8536739945411682
1501279707.16012,300,0.8966830372810364
1501279722.456447,400,0.9403269290924072
1501279738.089782,500,0.7567052841186523
1501279754.866409,600,0.9403269290924072
1501279771.901243,700,0.944135844707489
1501279787.267182,800,0.9493731260299683
1501279803.108654,900,0.9506427645683289
1501279819.131655,1000,0.9806379675865173
1501279834.349263,1100,0.9820663332939148
1501279849.743086,1200,0.9830185770988464
1501279864.829241,1300,0.9496905207633972
1501279879.427806,1400,0.9460403323173523
1501279895.540377,1500,0.9831772446632385
1501279911.300707,1600,0.9592128396034241
1501279927.098615,1700,0.9252499341964722
1501279942.451632,1800,0.968893826007843
1501279957.243671,1900,0.9923821687698364
1501279972.528029,2000,0.9934930801391602
1501279987.832248,2100,0.9928582906723022
1501280003.328232,2200,0.9949214458465576
1501280019.639888,2300,0.9944453239440918
1501280035.25773,2400,0.9965084791183472
1501280051.163705,2500,0.9965084791183472
1501280067.517443,2600,0.9944453239440918
1501280082.859922,2700,0.9674654603004456
1501280097.414584,2800,0.9982542395591736
1501280111.887199,2900,0.9984129667282104
1501280126.477409,3000,0.9988890886306763
1501280141.180035,3100,0.9865100979804993
1501280155.672494,3200,0.9973019957542419
1501280170.256706,3300,0.9988890886306763
1501280184.772917,3400,0.9527059197425842
1501280199.354942,3500,0.9977781176567078
1501280213.873482,3600,0.9982542395591736
1501280228.511676,3700,0.9460403323173523
1501280242.900267,3800,0.999682605266571
1501280257.680979,3900,0.9987303614616394
1501280272.02423,4000,0.9990477561950684
1501280286.292567,4100,0.9987303614616394
1501280300.613753,4200,0.9342961311340332
1501280314.952926,4300,0.9995238780975342
1501280329.28866,4400,0.9980955123901367
1501280343.573963,4500,0.9998412728309631
1501280358.511319,4600,0.9984129667282104
1501280373.171071,4700,0.9971433281898499
1501280387.582846,4800,0.996667206287384
1501280401.912095,4900,1.0
