Wall time,Step,Value
1501433746.550892,4,1.7917577028274536
1501433748.433106,7,1.7917500734329224
1501433753.391747,16,1.791662335395813
1501433755.42834,20,1.7916851043701172
1501433756.941795,23,1.7916204929351807
1501433759.094652,28,1.7917462587356567
1501433763.064248,37,1.7914760112762451
1501433771.465056,55,1.7917802333831787
1501433771.970626,56,1.7905828952789307
1501433772.843436,58,1.7913306951522827
1501433778.929513,69,1.791473150253296
1501433784.315338,80,1.7907612323760986
1501433784.761318,81,1.7898792028427124
1501433785.196309,82,1.790055513381958
1501433786.903273,86,1.7899038791656494
1501433788.260919,89,1.7906523942947388
1501433788.698134,90,1.7889543771743774
1501433797.950356,103,1.7886141538619995
1501433798.389431,104,1.7885068655014038
1501433798.827623,105,1.788793921470642
1501433808.034463,124,1.7870903015136719
1501433809.386483,127,1.7908096313476562
1501433811.396495,130,1.787035346031189
1501433812.18654,131,1.7897229194641113
1501433816.598789,140,1.7898547649383545
1501433829.125896,168,1.7862961292266846
1501433830.88932,172,1.784031867980957
1501433831.296006,173,1.7830575704574585
1501433835.194022,182,1.7872166633605957
1501433835.635383,183,1.7919719219207764
1501433837.030812,186,1.7878000736236572
1501433839.89733,191,1.7863223552703857
1501433840.596954,192,1.7805358171463013
1501433853.207191,212,1.7837460041046143
1501433855.18482,216,1.7900670766830444
1501433855.61971,217,1.7968149185180664
1501433856.928781,220,1.7909479141235352
1501433857.36405,221,1.7735459804534912
1501433859.577518,226,1.7802314758300781
1501433862.209119,232,1.787068247795105
1501433862.650264,233,1.7841782569885254
1501433863.071167,234,1.7820391654968262
1501433865.228595,239,1.7883810997009277
1501433866.550125,242,1.7921898365020752
1501433867.421309,244,1.7818174362182617
1501433876.378729,261,1.7936482429504395
1501433881.138916,272,1.7875316143035889
1501433883.36506,277,1.78804612159729
1501433889.102302,289,1.4555608034133911
1501433891.273562,294,1.4535555839538574
1501433892.13099,296,1.468639612197876
1501433892.553828,297,1.4473013877868652
1501433893.421358,299,1.4008324146270752
1501433901.042425,308,1.1143546104431152
1501433902.183318,310,1.1185780763626099
1501433909.109046,324,1.0987417697906494
1501433910.681402,327,1.1142960786819458
1501433911.958899,330,1.0959285497665405
1501433912.38523,331,1.100438117980957
1501433914.53775,336,1.1061255931854248
1501433914.95909,337,1.1115138530731201
1501433916.657793,341,1.1125214099884033
1501433917.545269,343,1.11232590675354
1501433918.009593,344,1.1228537559509277
1501433921.856725,353,1.097137451171875
1501433923.133898,356,1.110539197921753
1501433925.695793,362,1.1061686277389526
1501433926.144086,363,1.1083731651306152
1501433926.56917,364,1.0962939262390137
1501433927.003147,365,1.0954768657684326
1501433927.853842,367,1.0971366167068481
1501433929.534759,371,1.1010022163391113
1501433931.214169,375,1.1026641130447388
1501433931.678941,376,1.1040085554122925
1501433933.568187,379,1.102831482887268
1501433934.233467,380,1.0949361324310303
1501433934.870982,381,1.0806159973144531
1501433940.303156,393,1.0926722288131714
1501433941.989977,397,1.1254394054412842
1501433942.422539,398,1.1359333992004395
1501433948.357731,404,1.0471330881118774
1501433949.221355,406,1.0786454677581787
1501433955.451389,420,1.164386510848999
1501433958.005672,426,1.1173570156097412
1501433959.306893,429,0.9620264768600464
1501433961.276745,433,1.0402101278305054
1501433964.588106,438,0.9170573949813843
1501433965.93837,441,0.9324851632118225
1501433969.851732,450,0.8764251470565796
1501433983.8521,483,0.8407280445098877
1501433985.990396,488,0.8987285494804382
1501433994.447235,500,0.796492338180542
1501433997.629928,506,0.7875112295150757
1501433998.070559,507,0.802401065826416
1501433998.746981,508,0.7549543380737305
1501434000.699551,511,0.7721315622329712
1501434003.232626,517,0.7243691086769104
1501434003.733548,518,0.7029253244400024
1501434006.88348,525,0.7558591365814209
1501434009.123221,530,0.8051621913909912
1501434010.413702,533,0.7931923270225525
1501434015.202868,544,0.7714369297027588
1501434015.62878,545,0.758668065071106
1501434016.04504,546,0.7492513656616211
1501434016.469748,547,0.8085276484489441
1501434020.747099,557,0.7147506475448608
1501434024.230489,565,0.7706812620162964
1501434025.161822,567,0.7553799152374268
1501434026.887194,570,0.7670384645462036
1501434027.535204,571,0.722579836845398
