Wall time,Step,Value
1501431294.811225,4,1.7917382717132568
1501431296.092216,7,1.7917273044586182
1501431299.879938,16,1.791727066040039
1501431301.546462,20,1.7916018962860107
1501431302.813993,23,1.791609525680542
1501431305.359152,28,1.79158353805542
1501431310.255437,37,1.7914621829986572
1501431317.877987,55,1.7906837463378906
1501431318.32292,56,1.7910778522491455
1501431319.155447,58,1.7911627292633057
1501431323.822408,69,1.7913727760314941
1501431328.545237,80,1.7908339500427246
1501431328.965032,81,1.7889573574066162
1501431329.394324,82,1.7900537252426147
1501431331.084079,86,1.7894623279571533
1501431332.361899,89,1.7882932424545288
1501431332.791766,90,1.7895967960357666
1501431343.21167,103,1.788525104522705
1501431343.658571,104,1.7887537479400635
1501431344.098869,105,1.785220980644226
1501431352.24439,124,1.7863903045654297
1501431353.503888,127,1.7855952978134155
1501431354.801233,130,1.788987398147583
1501431355.212661,131,1.783189058303833
1501431359.098262,140,1.7900097370147705
1501431372.12641,168,1.7848044633865356
1501431373.859849,172,1.7884619235992432
1501431374.279461,173,1.785933017730713
1501431378.130905,182,1.7911412715911865
1501431378.556025,183,1.781896710395813
1501431379.818054,186,1.790905475616455
1501431381.975065,191,1.7847003936767578
1501431382.417476,192,1.7801064252853394
1501431394.360876,212,1.2069008350372314
1501431396.059156,216,1.1519134044647217
1501431396.498722,217,1.1354808807373047
1501431397.917844,220,1.1158487796783447
1501431398.508498,221,1.1067357063293457
1501431401.060255,226,1.116722583770752
1501431403.610893,232,1.1072378158569336
1501431404.047946,233,1.101796269416809
1501431404.486582,234,1.0960743427276611
1501431406.620939,239,1.1337746381759644
1501431407.905039,242,1.095573902130127
1501431408.751338,244,1.1026874780654907
1501431416.095335,261,1.0977139472961426
1501431420.826546,272,1.0664664506912231
1501431422.906387,277,1.0919485092163086
1501431427.994263,289,1.1487584114074707
1501431430.729896,294,1.0568501949310303
1501431431.604426,296,1.5215270519256592
1501431432.013909,297,1.227705955505371
1501431432.857347,299,1.0731152296066284
1501431440.105279,308,1.1641299724578857
1501431440.930004,310,1.002182960510254
1501431446.859263,324,0.9401768445968628
1501431448.16672,327,0.8914784789085388
1501431449.439781,330,1.0177452564239502
1501431449.854014,331,0.9063785076141357
1501431452.045409,336,1.0241295099258423
1501431452.487951,337,0.9183858633041382
1501431454.224373,341,1.023430585861206
1501431455.057925,343,0.9279729127883911
1501431455.480593,344,0.873589277267456
1501431459.830737,353,1.0419654846191406
1501431461.312842,356,0.8518612384796143
1501431463.849842,362,0.8196384906768799
1501431464.279721,363,0.9143390655517578
1501431464.714006,364,0.9189648628234863
1501431465.139541,365,0.8430191278457642
1501431466.014109,367,0.8405432105064392
1501431467.703809,371,0.8552981615066528
1501431469.414724,375,0.8448565006256104
1501431469.823407,376,0.8157593011856079
1501431471.081442,379,0.790992259979248
1501431471.502623,380,0.7657445669174194
1501431471.910027,381,0.7657768726348877
1501431476.994011,393,0.792288064956665
1501431478.725224,397,1.1447982788085938
1501431479.149076,398,1.1757478713989258
1501431485.310037,404,0.782866358757019
