Wall time,Step,Value
1501677232.288586,3,2.735520839691162
1501677232.601867,5,2.658600330352783
1501677233.077185,8,2.6157641410827637
1501677234.537347,17,2.6054201126098633
1501677234.857213,19,2.6221632957458496
1501677235.233023,21,2.693910837173462
1501677235.898161,24,2.588654041290283
1501677236.395474,27,2.6079330444335938
1501677236.737158,29,2.533175230026245
1501677238.372284,38,2.4902701377868652
1501677238.894674,41,2.5388951301574707
1501677239.056142,42,2.486776113510132
1501677239.85713,46,2.4659628868103027
1501677240.767421,51,2.4207494258880615
1501677241.109807,53,2.465517520904541
1501677241.283889,54,2.458669424057007
1501677241.648405,56,2.4021120071411133
1501677241.907692,57,2.388402223587036
1501677242.353884,59,2.3466479778289795
1501677244.622021,70,2.3761539459228516
1501677246.960896,81,2.24314546585083
1501677247.174007,82,2.3466501235961914
1501677247.424872,83,2.2911314964294434
1501677248.463344,87,2.204909324645996
1501677249.316534,90,2.208172559738159
1501677249.521807,91,2.2318999767303467
1501677251.390698,98,2.191162347793579
1501677253.567573,101,2.1222472190856934
1501677254.654066,105,2.163498878479004
1501677254.852352,106,2.165567398071289
1501677255.137213,107,2.219945192337036
1501677257.061168,114,2.1761884689331055
1501677257.63181,116,2.2437305450439453
1501677260.150743,126,2.126149892807007
1501677260.905102,129,2.2368664741516113
1501677261.59763,132,2.1085925102233887
1501677261.828682,133,2.2071590423583984
1501677263.32831,140,2.081409454345703
1501677263.657149,142,2.1061601638793945
1501677267.029956,159,2.0258774757385254
1501677267.198979,160,2.0951473712921143
1501677267.372054,161,2.110619306564331
1501677269.21361,170,2.073453903198242
1501677270.098459,174,2.0677483081817627
1501677270.298796,175,2.0084850788116455
1501677271.476434,181,1.9909939765930176
1501677272.171585,184,2.1982007026672363
1501677272.377857,185,1.9324452877044678
1501677272.863995,188,2.061645030975342
1501677273.666265,193,2.026282787322998
1501677273.853499,194,1.9823429584503174
1501677274.931844,200,1.9957234859466553
1501677275.951691,201,2.0215816497802734
1501677276.902601,207,2.0775604248046875
1501677277.464155,210,2.0616536140441895
1501677278.561583,215,2.021725654602051
1501677279.20255,219,1.923008680343628
1501677279.3693,220,2.0552141666412354
1501677279.996084,223,1.9669749736785889
1501677280.189325,224,2.138495445251465
1501677280.707958,227,1.928765058517456
1501677281.054576,229,1.9113032817840576
1501677282.218846,235,1.9575072526931763
1501677282.411739,236,1.9729671478271484
1501677282.601883,237,1.9320533275604248
1501677282.826747,238,1.9998799562454224
1501677283.589309,242,1.8923296928405762
1501677284.251371,245,1.917127013206482
1501677284.672554,247,1.955437183380127
1501677287.293462,260,1.9832117557525635
1501677287.633746,262,1.9912575483322144
1501677288.005797,264,1.8835883140563965
1501677290.440313,275,2.132883071899414
1501677290.777655,277,1.9523152112960815
1501677290.945043,278,1.873999834060669
1501677291.300021,280,1.9310508966445923
1501677291.466145,281,1.9035131931304932
1501677292.501078,285,1.8876655101776123
1501677293.222069,288,1.7563424110412598
1501677294.172289,292,1.9409849643707275
1501677295.154536,297,1.9238581657409668
1501677295.763823,299,1.8933908939361572
1501677295.951438,300,1.766413927078247
1501677297.158946,302,1.745846152305603
