Wall time,Step,Value
1501677231.636914,0,0.0673244372010231
1501677253.0053,100,0.3517121374607086
1501677275.633856,200,0.45560070872306824
1501677296.688974,300,0.4672083556652069
1501677315.596551,400,0.47301217913627625
1501677334.665711,500,0.47069066762924194
1501677353.825716,600,0.4677887260913849
1501677373.389826,700,0.46662798523902893
1501677393.168618,800,0.46836912631988525
1501677412.23727,900,0.4672083556652069
1501677433.220718,1000,0.48345908522605896
1501677456.32716,1100,0.4846198558807373
1501677476.33302,1200,0.46894949674606323
1501677497.114798,1300,0.4822983145713806
1501677517.942366,1400,0.4846198558807373
1501677537.137494,1500,0.47243180871009827
1501677557.053008,1600,0.49042367935180664
1501677576.156774,1700,0.49042367935180664
1501677597.35513,1800,0.48345908522605896
1501677616.784768,1900,0.4869413673877716
1501677635.691583,2000,0.48171794414520264
1501677654.24774,2100,0.4869413673877716
1501677673.010992,2200,0.49216482043266296
1501677691.742928,2300,0.4892629086971283
1501677710.622655,2400,0.487521767616272
1501677733.96959,2500,0.4822983145713806
1501677753.166924,2600,0.4852002263069153
1501677774.519061,2700,0.49216482043266296
1501677796.472471,2800,0.482878714799881
1501677815.701773,2900,0.4869413673877716
